,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,strength,switching_ratio,Stalk_angle,mem_layer
0,30,1,3.443419517,2.022129319,17.12186793,9.886087404,14.67048187,30.27621078,0.956089734,-48.52127298,5
1,30,1,2.255330704,1.123089683,19.71294472,7.96875266,13.87811821,40.2215004,0.996982433,-28.88761763,5
2,30,1,9.683885891,2.879513749,15.78767236,6.783376058,12.54474606,26.67479897,0.974734694,29.97263374,5
3,30,1,6.008156404,1.296631036,19.27404615,3.803053991,13.98205621,39.91360474,1.014244147,-45.28539671,5
4,30,1,7.404019672,2.3235559,15.11353989,9.474165456,14.55330528,23.94878578,0.925597535,-45.51621448,5
5,30,1,9.895808486,1.164789608,18.6583631,2.61276182,12.45049987,38.91607285,1.09632271,35.03151086,5
6,30,1,8.487158198,1.89414274,14.72149076,3.77185871,14.30244698,23.93255424,0.971386353,-9.939695757,5
7,30,1,1.072889642,0.168748656,17.38539629,9.067212998,12.87831094,31.54795456,0.994459537,-48.68156283,5
9,30,1,6.895495526,1.056628076,19.32010135,6.847931949,11.33721315,39.71839523,1.025044528,-37.2958758,5
10,30,1,2.581799555,2.333501209,16.94514479,4.97199773,13.55455013,29.86769867,0.997846057,-13.16990965,5
11,30,1,7.552402546,1.295882672,15.79763369,8.474832121,11.16017553,27.78792763,1.03795156,-19.28853261,5
12,30,1,1.731106533,1.253560724,17.73800324,7.908608116,12.41135934,32.73897552,0.988319457,-41.16319986,5
14,30,1,6.657894653,0.64457039,14.3666391,9.661728562,13.08015797,20.69455528,1.086208883,15.22951872,5
15,30,1,4.961527308,1.504986718,13.41080762,3.724598729,13.91826333,19.7521286,0.99476872,-35.86990953,5
16,30,1,8.439476412,0.529290682,18.891769,3.837428644,12.63350994,34.10487747,1.082825392,5.520960603,5
17,30,1,4.549383852,1.489187896,17.97383383,9.537752578,13.34642282,34.12263107,0.995818251,-19.09964856,5
18,30,1,8.95632403,0.696124455,16.89304155,6.768340247,12.12534103,28.13883591,1.103663972,-16.22330508,5
19,30,1,4.711695263,1.389785617,16.03586311,5.124590084,13.23304032,27.6419239,1.003023051,-27.86570019,5
20,30,1,7.17022807,1.554104189,11.92647129,8.172934629,12.63428448,16.07437134,1.000209475,-28.69137555,5
21,30,1,8.984062645,1.844299987,16.68769344,3.357945299,13.32316451,30.442276,0.947033366,-47.65668338,5
23,30,1,1.873093392,1.761109435,15.13936262,2.653378857,14.7851589,23.93480873,0.998698934,-19.59701269,5
25,30,1,6.377745554,1.518410738,18.70309241,5.944658791,13.98935209,37.50551605,1.007291813,24.06933081,5
26,30,1,2.659580082,2.276680522,14.61392137,5.378449908,14.88061233,22.49380302,0.99514336,-22.20848677,5
27,30,1,8.647757768,1.073576256,15.80290638,6.695090444,11.7234505,27.47028542,1.079082303,-25.76830822,5
29,30,1,2.624151753,0.786786838,19.80724687,4.659876126,11.05091873,40.51233292,1.002847995,-35.41932993,5
30,30,1,9.264065171,0.050779775,13.57509,6.369888278,11.20482155,12.12286568,1.287383792,18.02575876,5
31,30,1,2.903660495,1.612025122,14.07855523,2.884378766,12.86673344,21.21790695,0.999114437,40.75449107,5
32,30,1,4.038283574,0.606217356,17.43569508,6.31782459,12.59957296,31.40172195,1.013806974,-25.66830942,5
33,30,1,5.130095531,1.303979176,18.22704031,6.79414072,13.33065475,35.37523651,1.01395297,6.498355192,5
34,30,1,0.69096481,2.438193497,19.5578804,3.976292578,12.30164507,39.06218719,0.999956837,1.648465304,5
35,30,1,3.338551666,0.787085515,11.21555128,2.043912853,12.07585502,13.49471474,1.031060118,-16.00082594,5
36,30,1,8.915601157,0.184083135,19.41024384,8.800851387,11.93859491,32.46896362,1.049250606,-17.06977745,5
37,30,1,1.840957013,2.352642724,16.47952566,5.355453352,14.72717315,28.21660995,0.999348252,-3.956997916,5
38,30,1,7.927686481,1.084780051,18.6187553,2.126013791,12.9961311,37.46623993,1.059932646,21.97254339,5
39,30,1,6.451590163,0.908796453,15.01884161,4.118744262,12.55036983,24.11526489,1.058136946,-28.86474924,5
40,30,1,6.61772843,1.353902479,15.55854065,6.518764928,13.09953715,26.51130104,1.001539971,-39.01566419,5
41,30,1,9.224347145,2.063878672,13.15420492,8.853691798,11.93101115,19.30512619,0.972208604,10.08446772,5
42,30,1,8.340539966,2.548786662,15.09863471,8.322987701,12.62398347,24.62724686,0.984217781,11.10409108,5
43,30,1,3.121177317,0.706393236,11.05238164,9.032194046,11.80508603,13.02207565,1.025844071,11.96594737,5
44,30,1,6.299475238,2.318270082,11.34134659,8.529630015,13.89892285,14.13765335,0.987466564,6.745491718,5
47,30,1,5.329119863,2.700624943,13.65874845,6.50890307,13.78474076,19.95022583,0.993918468,17.60460701,5
48,30,1,1.981320323,0.372161755,16.50602198,5.698792242,14.79894991,28.51844788,1.009075952,-35.9217349,5
49,30,1,1.186057688,2.177737127,13.49688432,4.226553727,13.65057604,19.09313011,0.999791159,2.45649028,5
50,30,1,1.494350382,1.397844976,18.16373814,7.453526881,13.93651865,34.11553192,0.999548128,-0.504058506,5
51,30,1,2.661822389,0.238129626,19.09142592,5.159691939,13.47250649,37.46603775,1.006922098,-18.65299578,5
52,30,1,1.361587938,2.024233478,13.61069343,2.085080655,11.43356329,19.50388527,0.996500048,-47.53356042,5
53,30,1,5.071254956,1.330211687,16.47049225,3.022710742,14.29236314,29.14755058,1.016424729,15.83628699,5
55,30,1,9.812899302,0.563004608,18.40293663,5.963992466,14.07890592,31.46532249,1.129156447,15.64330224,5
56,30,1,5.642231868,1.448092746,16.06467004,8.711909293,12.79207823,27.93242836,1.007472404,-7.308829773,5
57,30,1,9.001560026,2.31960412,11.15895022,7.868203932,11.91308734,13.26457024,0.911295737,22.39209565,5
58,30,1,4.625178623,1.998600954,15.39091222,8.431075898,12.13318508,25.20283127,0.99210523,-6.786115282,5
59,30,1,0.822848001,0.703260758,17.92438534,9.793628634,13.87965689,33.25771713,0.999158229,-12.54032868,5
60,30,1,6.600321808,0.189204178,18.48633626,6.096424751,14.44428082,32.22173309,1.026500516,-8.812124655,5
